Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,40,1.0,1.0,1.0,0.8864139371472228
HI-VAE_weibull,80,1.0,1.0,1.0,0.8812302554699942
HI-VAE_weibull,120,1.0,0.9916666666666667,1.0,0.885551966466581
HI-VAE_weibull,160,1.0,0.9875,1.0,0.8802312580735228
HI-VAE_weibull,200,1.0,0.99,1.0,0.8849911124815797
HI-VAE_piecewise,40,1.0,0.975,1.0,0.8930310445907337
HI-VAE_piecewise,80,1.0,0.975,1.0,0.8957467867343469
HI-VAE_piecewise,120,1.0,0.9833333333333333,1.0,0.8958365328414961
HI-VAE_piecewise,160,1.0,0.9875,1.0,0.8957663954507089
HI-VAE_piecewise,200,1.0,0.99,1.0,0.8946707494152568
Surv-GAN,40,1.0,1.0,1.0,0.8358633286500105
Surv-GAN,80,1.0,1.0,1.0,0.840946991768911
Surv-GAN,120,1.0,1.0,1.0,0.8388461699720808
Surv-GAN,160,1.0,1.0,1.0,0.8404151309652141
Surv-GAN,200,1.0,1.0,1.0,0.8398092694672414
Surv-VAE,40,1.0,0.95,1.0,0.8538399732800206
Surv-VAE,80,1.0,0.95,1.0,0.8648917135129983
Surv-VAE,120,1.0,0.9583333333333334,1.0,0.870425709591549
Surv-VAE,160,1.0,0.9625,1.0,0.8739501489858601
Surv-VAE,200,1.0,0.96,1.0,0.870908385088594
HI-VAE_weibull_prior,40,1.0,0.85,1.0,0.8354478168794639
HI-VAE_weibull_prior,80,1.0,0.875,1.0,0.8480943656845268
HI-VAE_weibull_prior,120,1.0,0.8666666666666667,1.0,0.8462791535078972
HI-VAE_weibull_prior,160,0.99375,0.85,1.0,0.8471573405628374
HI-VAE_weibull_prior,200,0.995,0.86,1.0,0.8496485192020448
HI-VAE_piecewise_prior,40,1.0,0.975,1.0,0.890610064961826
HI-VAE_piecewise_prior,80,1.0,0.9625,1.0,0.8876180898861273
HI-VAE_piecewise_prior,120,1.0,0.975,1.0,0.8881802011712651
HI-VAE_piecewise_prior,160,1.0,0.9625,1.0,0.8858378690112358
HI-VAE_piecewise_prior,200,1.0,0.96,1.0,0.8818844109305652
