Generator,Nb generated datasets,Estimate agreement,Decision agreement,Standardized difference,CI overlap
HI-VAE_weibull,20,1.0,1.0,1.0,0.9244619097009436
HI-VAE_weibull,40,1.0,1.0,1.0,0.9265067530925803
HI-VAE_weibull,60,1.0,0.9833333333333333,1.0,0.9200036943633022
HI-VAE_weibull,80,1.0,0.975,1.0,0.9122538398357852
HI-VAE_weibull,100,1.0,0.98,1.0,0.9081047788899077
HI-VAE_piecewise,20,0.0,1.0,0.5,0.2686858296667182
HI-VAE_piecewise,40,0.0,1.0,0.45,0.24979605982996608
HI-VAE_piecewise,60,0.0,1.0,0.4166666666666667,0.2352167221666651
HI-VAE_piecewise,80,0.0,1.0,0.4125,0.23266646385436326
HI-VAE_piecewise,100,0.01,1.0,0.42,0.23590223437353428
